name,year,location,country,size,services,sectors,products,tags,completion,description
Vivo City,2023,Vivo city,Singapore,"25,000 m2","[""Exterior""]","[""Commercial""]","[""Bamboo""]","[""Decking""]",Completed,
Dyson Head Quarters,2022,James Power Station,Singapore,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Stairs"",""Flooring""]",Completed,
KANDINSKY Outlet,2023,Marina Square,Singapore,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring"",""Wall and Ceiling""]",Completed,
Duxton Hill,2023,Duxton Hill,Singapore,-,"[""Interior""]","[""Residential""]","[""Kandinsky""]","[""Flooring""]",Completed,
Soleil,2023,Soleil,Singapore,-,"[""Interior""]","[""Residential""]","[""Kandinsky""]","[""Flooring"",""Stairs"",""Platform""]",Completed,Raised Tatami Platform. Design of contrast with raised height platform in a lighter colour to define the different use of spaces yet in an open concept manner. This give a zen looking feel combined with minimalism.
Nassim,2022,Nassim,Singapore,-,"[""Interior"",""Exterior""]","[""Residential""]","[""Wood and Timber"",""Calvary Composite""]","[""Timber ceiling"",""Calvary Composite""]",Completed,
P+A Office,2023,P+A Office,Singapore,-,"[""Interior""]","[""Commercial""]","[""Accoya""]","[""Timber ceiling""]",Completed,
Bidadari,2023,Bidadari,Singapore,-,"[""Interior""]","[""Residential""]","[""Kandinsky""]","[""Flooring""]",Completed,
Margoliouth,2023,Margoliouth Road,Singapore ,-,"[""Interior"",""Exterior""]","[""Residential""]","[""Kandinsky"",""Wood and Timber""]","[""Flooring"",""Stairs"",""Decking""]",Completed,
Braemar Drive,2023,Braemar Drive,Singapore ,-,"[""Interior""]","[""Residential""]","[""Kandinsky""]","[""Stairs"",""Flooring""]",Completed,
Burmese teak handrail,2011,Wilkinson road,Singapore ,-,"[""Interior""]","[""Residential""]","[""Wood and Timber""]","[""Stairs""]",Completed,
Singapore Japanese School,2019,SJS,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Wood and Timber""]","[""Stairs""]",Completed,
Babilou,2023,Jurong Gateway,Singapore ,-,"[""Interior"",""Exterior""]","[""Commercial""]","[""Accoya"",""Calvary Composite""]","[""Structural build"",""Decking""]",Completed,
Apple Headquarter,2023,Apple HQ,Singapore ,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,
"Singapore Management 
University",2021,SMU,Singapore ,-,"[""Interior"",""Exterior""]","[""Governmental""]","[""Accoya""]","[""Cladding"",""Panel""]",Completed,
RISE restaurant ,2016,Marina Bay Sands,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Wood and Timber""]","[""Structural build""]",Completed,
"National Youth Sports 
Institute",2021,NYSI,Singapore ,-,"[""Interior"",""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,
JYPSY Cafe,2022,One Fullerton,Singapore ,-,"[""Interior"",""Exterior""]","[""Commercial""]","[""Accoya""]","[""Decking""]",Completed,
Cloudbreak ,2023,Cloudbreak,Singapore ,-,"[""Maintance""]","[""Commercial""]","[""Sand & Vanish""]","[""Decking""]",Completed,
SOTA,2021,SOTA,Singapore ,-,"[""Maintance""]","[""Commercial""]","[""OSMO""]","[""Flooring"",""Wall and Stairs""]",Completed,
St Regis Hotel,2023,St Regis,Singapore ,-,"[""Maintance""]","[""Commercial""]","[""Sand & Vanish""]","[""Stairs"",""Flooring""]",Completed,
Artyzen Hotel,2023,9 Cuscaden Road,Singapore ,-,"[""Interior"",""Exterior""]","[""Commercial""]","[""Accoya"",""Kandinsky""]","[""Flooring"",""Panel"",""Decking"",""Cladding"",""Soffit""]",Completed,
Hilton Singapore Orchard,,Hilton Singapore Orchard,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,Botanical-inspired interiors and modern amenities. Hilton Orchard provides sustainable and innovative rooms feature eco-friendly motion sensor-controlled lighting and air-conditioning. 
St Regis Hotel,2018,St Regis Hotel,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Stairs"",""Flooring""]",Completed,To supply & install Jurupa Engineered Pattern Floors.
UNIQLO,2020,Level 2 @ Orchard Central ,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"UNIQLO at Level 2 of Orchard Central features a stunning and sustainable engineered flooring in the rich, warm hue of Pugachov. The flooring covers the entire floor of the store, providing a cozy and inviting atmosphere for shoppers. Made with high-quality sustainable materials, this flooring reflects UNIQLO's commitment to sustainability and natural beauty. "
Changi Airport T3,2018,Changi Airport T3 B1 and L1,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Stairs"",""Flooring""]",Completed,"Supply and installation of 252m2 of Engineered Oak (Osmo 3062) for Steps seating, staircase risers and staircase treads"
Jalan Terubok,2022,Jalan Terubok,Singapore ,-,"[""Interior""]","[""Residential""]","[""Kandinsky""]","[""Flooring"",""Ceiling""]",Completed,"Bold in colour and contrast. Timber gels in perfectly with concrete designed surroundings. Talking about modern rustic, this is one of the good examples. Dark colour timber gives the place a bold & masculine outlook."
The Working Capitol,2017,Robinson,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring"",""Wall and Stairs""]",Completed,Not only floors but walls as well. Capturing attention with one look from afar. Its's hard to not miss this!
Ion Orchard,2019,L5 Art Gallery,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"A home to arts and paintings. The light coloured timber floors compliments the hang ups on the walls. One look from afar, it is inviting with subtleness and tranquility."
BP Singapore,2017,BP Office,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Stairs"",""Flooring""]",Completed,"BP's office stairs is not to be missed! With the side lights illuminiating your path, the timber stairs is mesmerizing as u climb step by step with the different characters of timber grains greeting you."
DNB,2017,DNB Office,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"DnB chooses a neutral. A rare sight of Larch timber display. Uncomonly used in tropical countries, DNB knows the true appreciation of timber characteristics. The floors are truely a beauty to behold, normalizing knots."
GSK Global HQ (Asia),2017,GSK HQ,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"Installation of Oak Engineering Floors at GSK Global HQ (Asia). Home of the medicinal productions and research. What more to fit the theme of calm, tranquil and affirmation for one's health would be none other than engineered oak with the background of healthy timber flooring."
UBS Penang Road,2020,Penang Road,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Stairs"",""Ceiling""]",Completed,"The UBS Penang Road project features a stunning wooden platform and flooring in Zerno color, creating a warm and inviting atmosphere. The classic wood design adds a touch of sophistication and elegance to the commercial space, making it a perfect choice for any business setting."
PUB Waterhub,2018,Waterhub,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Wall""]",Completed,"The light wooden walls at the PUB Waterhub project provide a clean and polished look that is fitting for a national water agency that manages Singapore's water supply. The bright and minimalistic design of the wood complements the overall goal of integrated water management, making the space feel open and inviting while also emphasizing the importance of cleanliness and sustainability.It's all about water and people."
Shiseido,2018,Shiseido,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring"",""Ceiling"",""Stairs""]",Completed,"Out of the ordinary laying methods, Shiseido choose weave basket patterns. Carefully designed by the architect, this spaces shows true consistency, bringing out the tinge of vintage to the modern world application."
Hom Yoga,2018,181 Orchard Rd,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"An inviting space to invigoration. The white stained timber oil speaks for itself. Calm, tranquil, strong minimalist that takes you away from bustling stress. Namaste!"
Cartier,2018,Marina Bay Sands,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"The warm reddish coated wood flooring and spiral staircase at the Cartier project provide a dramatic and unforgettable entrance to the luxurious commercial space. The rich and vibrant color of the wood adds depth and character to the overall design, making it a stunning feature of the upscale Marina Bay Sands shopping mall."
APM Monaco,2018,Jewel,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"The Zerno-colored classic wood herringbone flooring at the APM Monaco project provides a luxurious and sophisticated backdrop for the high-end jewelry and accessories on display. The durability of the wood ensures that it can withstand heavy foot traffic, while its natural beauty adds a touch of warmth and elegance to the commercial space."
Chanel,2017,KLCC,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"The black oil Kildare flooring at the Channel project provides a luxurious and refined look that is perfect for a high-end fashion retailer. The durability of the wood ensures that it can withstand heavy foot traffic, while its natural beauty adds a touch of elegance and sophistication to the commercial space."
Bell & Ross,2018,Bell & Ross,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Kandinsky""]","[""Flooring""]",Completed,"The Bell & Ross project boasts striking black oil Kildare flooring, creating a dramatic and contemporary atmosphere that complements the brand's innovative and stylish image. The dark color of the wood adds a touch of sophistication to the commercial space, making it a perfect setting for displaying the brand's high-end luxury watches."
Kew Drive,2021,Kew Drive,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Accoya""]","[""Screens"",""Soffit"",""Cladding""]",Completed,"Accoya timber was elegantly utilized to clad the exterior roof, complemented by sliding screens for the balcony. The Accoya ceiling seamlessly extends from the exterior to the interior, creating a beautifully spacious interior ambiance."
Reflections at Keppel Bay,2023,Keppel Bay,Singapore ,-,"[""Interior""]","[""Commercial""]","[""Accoya""]","[""Decking"",""Cladding""]",Completed,"Accoya timber was treated with OSMO 429 for the rooftop balcony at Keppel Bay. Accoya cladding seamlessly extends onto the decking, with greenery and foliage adding a natural touch."
Bi-fold window,2022,Private residence in Singapore ,Singapore,-,"[""Interior""]","[""Residential""]","[""Accoya""]","[""Cladding"",""Bi-Fold Window""]",Completed,Accoya coated with OSMO 706 cladded residential with bi-fold window screen.
Swiss Club,2022,Private residence in Singapore ,Singapore,-,"[""Exterior""]","[""Residential""]","[""Accoya""]","[""Screens"",""Soffit"",""Cladding""]",Completed,Accoya coated with OSMO Glazed cladded residential with sliding screen and cladding
Apple Inc,2012,Apple Inc Office Singapore,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Accoya""]","[""Decking""]",Completed,
Jalan Seruling,2021,Jalan Seruling,Singapore,-,"[""Interior"",""Exterior""]","[""Residential""]","[""Accoya""]","[""Decking""]",Completed,Outdoor balcony and roof top decking. 
Waterbay Condominium,2022,Waterbay,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"Waterbay Condominium boasts a stunning composite decking in the warm and inviting color of Rum. The removal of 1200m2 of hardwood decking was expertly executed and replaced with Calvary Composite, creating a luxurious and sustainable outdoor living space. The Rum colour adds a touch of warmth and sophistication to the space, making it an ideal place to relax and enjoy the stunning pool views."
Mount Sinai,2020,Mount Sinai,Singapore,-,"[""Interior""]","[""Residential""]","[""Calvary Composite""]","[""Decking""]",Completed,"Fixed timber screens line the bridge into the house. Its scale and rhythm speak of solidity yet porosity. It offers a peek into the space beyond the threshold yet keeps unwelcome gazes out. Crossing over, a solitary tree rises upwards from below, indicating habitable space beneath. One senses that the exterior belies the interior."
Lakehomes,2020,Lakehomes Condominium,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,Lakehomes Condominium is a luxurious waterfront community that features a stunning composite decking built next to the swimming pool. The composite decking in the bold and eye-catching color of Lava adds a touch of drama and elegance to the outdoor space.
Gambir Ridge,2020,Gambir Ridge Condominium,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"Gambir Ridge Condominium offers a luxurious and stylish outdoor living space with its stunning composite decking in the serene and calming color of Mist. The composite decking is built next to the swimming pool in a roof terrace, providing a relaxing and private oasis for residents to escape the hustle and bustle of city life.

The Mist color adds a touch of tranquility and sophistication to the space, creating a soothing and serene environment for relaxation and enjoyment. "
Burnt foot,2022,Burnt foot Road,Singapore,-,"[""Exterior""]","[""Residential""]","[""Calvary Composite""]","[""Decking""]",Completed,"The captivating dark tones of Nero decking exude an air of sophistication and modernity, elevating the balcony's aesthetic appeal. With its sleek and stylish appearance, the decking provides a durable and low-maintenance platform for relaxation and leisure. Whether hosting gatherings or seeking solace, guests can indulge in a luxurious experience on the balcony, surrounded by the contemporary beauty of Calvary Composite Nero decking."
LYF@one-north,2022,One-north Singapore ,Singapore,-,"[""""]","[""""]","[""""]","[""""]",Completed,
Lyf@funan,2019,Funan,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"LYF Funan Singapore is located in Funan Mall, the design alludes to the industrial style but with a more playful slant to suit the target customers’ characters. This idea is combined with a touch of locality, consisting of a collage of materials of various texture, patterns, and colours; and furniture made by local designers and artists."
SKIRT Restaurant,2020,W Hotel,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"At the W Hotel, SKIRT Restaurant, guests can enjoy a luxurious outdoor dining experience on a stunning composite decking in the warm and inviting color of Rum. The Rum color adds a touch of warmth and sophistication to the outdoor dining area, creating a beautiful and inviting atmosphere for guests to enjoy their meal in style. "
Maple Business Park,2018,Maple Business Park,Singapore ,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"Nestled next to a serene pond and surrounded by beautiful trees and nature, the composite decking provides the perfect spot to relax and take in the beauty of the surroundings. The Havana Gold colour adds a touch of warmth and elegance to the space, creating a beautiful and inviting atmosphere for visitors and tenants alike."
76 Shenton,2021,76 Shenton,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"At 76 Shenton, residents and visitors are greeted with a stunning composite decking in the warm and inviting color of Rum. The decking is located next to water features in a swimming pool, leading towards the entrance, creating a truly breathtaking first impression. Rum color adds a touch of sophistication and warmth to the space, creating a beautiful and inviting atmosphere for residents and visitors to enjoy."
Outram Community Hospital,2019,Outram Community Hospital,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Wood and Timber"",""Calvary Composite""]","[""Trellis"",""Benches""]",Completed,"Outram Community Hospital's outdoor space features comfortable composite benches and trellis in the warm and inviting color of Havana. With their comfortable seating and timeless design, the Havana composite benches at Outram Community Hospital are a welcome addition to the hospital's facilities, providing patients and visitors with a beautiful and comfortable space to rest and relax."
Holiday Inn Express Katong,2020,Holiday Inn Express Katong,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"At Holiday Inn Express Katong, guests can unwind and relax in the hotel's outdoor resting area, complete with composite decking in the warm and inviting pattern of Havana and Rum. The unique pattern adds a touch of visual interest to the space, while the rich, earthy tones of the Havana and Rum colors create a cozy and inviting atmosphere. Whether taking a break from a busy day of sightseeing or enjoying a morning cup of coffee, the outdoor resting area with its beautiful composite decking is the perfect spot to recharge and enjoy the fresh air."
Khoo Teck Puat Hospital,2018,Yishun Central,Singapore,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"Khoo Teck Puat Hospital is a modern medical facility that offers high-quality care to its patients. The hospital's outdoor waiting areas feature comfortable composite benches in the warm and inviting colour of rum, providing patients and visitors with a relaxing place to rest as they wait."
The Trumps,2021,The Trumps Condominium,Singapore ,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,"Located in the pool deck of Tumps Condominium, Calvary Composite Rum exudes warmth and elegance, perfectly complementing the surrounding environment while creating a welcoming space for residents and visitors alike."
Onalu Cafe,2021,Singapore Management University,Singapore ,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,Onalu Cafe@Singapore Management University features a beautiful outdoor eating area with composite decking in the serene color of mist. The decking provides a comfortable and elegant space for diners to enjoy their meals surrounded by of the campus.
Chempaka,2019,Chempaka Ave,Singapore ,-,"[""Interior""]","[""Residential""]","[""Calvary Composite""]","[""Decking""]",Completed,"This beautiful bungalow was designed with a contemporary interpretation of a courtyard house, and we're proud to have our Calvary Composite Decking as part of it. Our decking not only enhances the natural day-lighting and cross ventilation, but also provides the perfect platform to enjoy the stunning views from the multi-level sky terraces."
Apple HQ,2023,12 Ang Mo Kio,Singapore ,-,"[""Exterior""]","[""Commercial""]","[""Calvary Composite""]","[""Decking""]",Completed,Apple SouthAsia HQ features a beautiful outdoor balcony area with composite decking in the serene color of Havana. The decking provides a comfortable and elegant space to relax and unwind.
