id,image_path,countries,name,year,location,country,services,sectors,products,applications,completion,description,Count
1,vivo-city,SG,Vivo City,2023,Vivo city,Singapore,Exterior ,Commercial,dassoCTECH,Decking,Completed,"Situated at Vivo city singapore, dassoCtech is used for the decking.",1
2,vivo-city,MY,Vivo City 2,2023,Vivo city,Singapore,Exterior ,Commercial,Bamboo,Decking,Completed,"Situated at Vivo city singapore, dassoCtech is used for the decking.",1
3,dyson-head-quarters,"SG,MY",Dyson Head Quarters,2022,James Power Station,Singapore,Interior ,Commercial,Kandinsky,"Stairs, Flooring",Completed,"The Dyson @ St James Power Station features a stunning classic wood flooring in Zerno color. The natural beauty and durability of the wood make it a perfect choice for a busy commercial space, while its warm and inviting tones create a welcoming and comfortable environment for customers and employees alike.",1
4,kandinsky-outlet,"SG,MY",KANDINSKY Outlet,2023,Marina Square,Singapore,Interior ,Commercial,Kandinsky,"Flooring, Wall and Ceiling",Completed,"The first-ever showroom made entirely of flooring materials, from the walls to the tables. We’re thrilled to announce the grand opening of KANDINSKY, our premium timber showroom at Marina Square #03-207!",1
5,duxton-hill,"SG,MY",Duxton Hill,2023,Duxton Hill,Singapore,Interior ,Residential,Kandinsky,Flooring,Completed,Solid Douglas fir flooring extends from the pantry to the interior and features prominently in a dedicated room at Duxton Hill,1
6,soleil,"SG,MY",Soleil,2023,Soleil,Singapore,Interior ,Residential,Kandinsky,"Flooring, Stairs, Platform",Completed,Raised Tatami Platform. Design of contrast with raised height platform in a lighter colour to define the different use of spaces yet in an open concept manner. This give a zen looking feel combined with minimalism.,1
7,nassim,"SG,MY",Nassim,2022,Nassim,Singapore,"Interior, Exterior",Residential,"Wood and Timber, Calvary Composite","Timber Box ceiling,  Calvary Composite",Completed,"A two-storey bungalow with an attic and a swimming pool on elevated land at Nassim Road boasts a floor-to-ceiling height of 12 meters in the living room. The living room features a large timber veneer box ceiling that stretches across its expanse. Additionally, the ground floor balcony and the rooftop decking on the attic is decked with Calvary Composite.",1
8,pa-studio,"SG,MY",P+A Office,2023,P+A Office,Singapore,Interior ,Commercial,Accoya,Timber ceiling,Completed,The ceiling of the Park and Associates office is adorned with a beautiful timber ceiling that spans the entire space.,1
9,bibidari,"SG,MY",Bidadari,2023,Bidadari,Singapore,Interior ,Residential,Kandinsky,Flooring,Completed,Beautiful large knot larch flooring was installed in a residential property in Bidadari.,1
10,margoliouth,"SG,MY",Margoliouth,2023,Margoliouth Road,Singapore ,"Interior, Exterior, Maintance",Residential,"Kandinsky, Wood and Timber","Flooring, Stairs, Decking",Completed,"ABCD grade Chrobry flooring was used across all three floors of Margoliouth, including the Mezzanine, providing a vantage point to view the top floor from above. CHROBY flooring seamlessly extends from the first floor to the third, ensuring a smooth transition throughout. Additionally, the owner's decking from their previous home was repurposed for installation in their new residence.",1
11,braemar-drive,"SG,MY",Braemar Drive,2023,Braemar Drive,Singapore ,Interior ,Residential,Kandinsky,"Stairs, Flooring",Completed,"Bold in colour and contrast. Timber gels in perfectly with concrete designed surroundings. Talking about modern rustic, this is one of the good examples. Dark colour timber gives the place a bold & masculine outlook.",1
12,burmese-teak-handrail,"SG,MY",Burmese teak handrail,2011,Wilkinson road,Singapore ,Interior ,Residential,Wood and Timber,Stairs,Completed,A winding Burmese teak handrail was installed in a residence on Wilkinson Road.,1
13,singtel-shop-comcentre,"SG,MY",Singtel Shop Comcentre,2011,313@somerset,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,The Zerno-colored classic wood flooring at the Singtel Shop Comcentre project provides a timeless and sophisticated look that fits perfectly with the sleek and modern design of the commercial space. The durability of the wood ensures that it can withstand heavy foot traffic while maintaining its natural beauty over time.,1
